ttid,rank,title,fulltitle,year,image_url,crew,imdb_rating,imdb_rating_count
tt2356777,35,True Detective,True Detective (2014),2014,"https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UX128_CR0,1,128,176_AL_.jpg","Vince Vaughn, Colin Farrell",8.9,539253
tt0098769,36,The Civil War,The Civil War (1990),1990,"https://m.media-amazon.com/images/M/MV5BZDc1NzI2MGEtZDA2Yy00ZWExLTgwYmItNjU3N2QyYmM0MzYwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","David McCullough, Sam Waterston",8.9,15856
tt0213338,37,Cowboy Bebop,Cowboy Bebop (1998),1998,"https://m.media-amazon.com/images/M/MV5BNGNlNjBkODEtZThlOC00YzUxLWI0MjMtMjk3YzJmMDFlNWZlXkEyXkFqcGdeQXVyNjI0MDg2NzE@._V1_UX128_CR0,3,128,176_AL_.jpg","Kôichi Yamadera, Unshô Ishizuka",8.9,110173
tt2098220,38,Hunter x Hunter,Hunter x Hunter (2011),2011,"https://m.media-amazon.com/images/M/MV5BZjNmZDhkN2QtNDYyZC00YzJmLTg0ODUtN2FjNjhhMzE3ZmUxXkEyXkFqcGdeQXVyNjc2NjA5MTU@._V1_UX128_CR0,3,128,176_AL_.jpg","Issei Futamata, Megumi Han",8.9,83888
tt0386676,39,The Office,The Office (2005),2005,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX128_CR0,3,128,176_AL_.jpg","Steve Carell, Jenna Fischer",8.9,520586
tt2802850,40,Fargo,Fargo (2014),2014,"https://m.media-amazon.com/images/M/MV5BN2NiMGE5M2UtNWNlNC00N2Y4LTkwOWUtMDlkMzEwNTcyOTcyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Billy Bob Thornton, Martin Freeman",8.9,358125
tt7137906,41,When They See Us,When They See Us (2019),2019,"https://m.media-amazon.com/images/M/MV5BZmJjM2YzOWEtOTYxYi00YjhkLTliMzgtMTA2MTc0NDQ1MDM4XkEyXkFqcGdeQXVyODY5OTk4MA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Asante Blackk, Caleel Harris",8.8,112172
tt2571774,42,Africa,Africa (2013),2013,"https://m.media-amazon.com/images/M/MV5BMjFkYzk3ZDktYThjZC00NDgzLWIzYWEtMjI0N2Y0ZmE5ZDMwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX128_CR0,1,128,176_AL_.jpg","David Attenborough, Simon Blakeney",8.8,15632
tt1508238,43,Apocalypse: The Second World War,Apocalypse: The Second World War (2009),2009,"https://m.media-amazon.com/images/M/MV5BMzEyMmM1ZGMtZTgwMS00Y2Y4LTg0MTItMGRiZGE3YTVhYjU3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY176_CR3,0,128,176_AL_.jpg","Mathieu Kassovitz, Martin Sheen",8.8,11938
tt0081912,44,Only Fools and Horses,Only Fools and Horses (1981),1981,"https://m.media-amazon.com/images/M/MV5BYmI1NGIwNzYtOTVlMS00ZGYwLWE0ZTktYzVmMGVlMmRmN2QxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","David Jason, Nicholas Lyndhurst",8.8,49935
